,hy_ig_spread,real_yield_10y,curve_10y_2y,chicago_fci,vix_3m_1m_ratio,ism_new_orders,ism_inventories,qqq_skew_20d_mean
1990-01-02,,,,,,,,
1990-01-03,,,0.07,,,,,
1990-01-04,,,0.05,,,,,
1990-01-05,,,0.06,,,,,
1990-01-08,,,0.09,0.03321,,,,
1990-01-09,,,0.12,0.03321,,,,
1990-01-10,,,0.11,0.03321,,,,
1990-01-11,,,0.12,0.03321,,,,
1990-01-12,,,0.13,0.03321,,,,
1990-01-15,,,0.17,0.04484,,,,
1990-01-16,,,0.17,0.04484,,,,
1990-01-17,,,0.1,0.04484,,,,
1990-01-18,,,0.1,0.04484,,,,
1990-01-19,,,0.07,0.04484,,,,
1990-01-22,,,0.06,0.05471,,,,
1990-01-23,,,0.09,0.05471,,,,
1990-01-24,,,0.08,0.05471,,,,
1990-01-25,,,0.18,0.05471,,,,
1990-01-26,,,0.18,0.05471,,,,
1990-01-29,,,0.21,0.06196,,,,
1990-01-30,,,0.2,0.06196,,,,
1990-01-31,,,0.21,0.06196,,,,
1990-02-01,,,0.15,0.06196,,,,
1990-02-02,,,0.14,0.06196,,,,
1990-02-05,,,0.13,0.06392,,,,
1990-02-06,,,0.16,0.06392,,,,
1990-02-07,,,0.15,0.06392,,,,
1990-02-08,,,0.1,0.06392,,,,
1990-02-09,,,0.12,0.06392,,,,
1990-02-12,,,0.06,0.06128,,,,
1990-02-13,,,0.08,0.06128,,,,
1990-02-14,,,0.14,0.06128,,,,
1990-02-15,,,0.09,0.06128,,,,
1990-02-16,,,0.08,0.06128,,,,
1990-02-19,,,0.06,0.05569,,,,
1990-02-20,,,0.06,0.05569,,,,
1990-02-21,,,0.1,0.05569,,,,
1990-02-22,,,0.12,0.05569,,,,
1990-02-23,,,0.09,0.05569,,,,
1990-02-26,,,0.1,0.04931,,,,
1990-02-27,,,0.08,0.04931,,,,
1990-02-28,,,0.07,0.04931,,,,
1990-03-01,,,0.08,0.04931,,,,
1990-03-02,,,0.06,0.04931,,,,
1990-03-05,,,0.06,0.04484,,,,
1990-03-06,,,0.1,0.04484,,,,
1990-03-07,,,0.05,0.04484,,,,
1990-03-08,,,0.04,0.04484,,,,
1990-03-09,,,-0.02,0.04484,,,,
1990-03-12,,,-0.08,0.04412,,,,
1990-03-13,,,-0.08,0.04412,,,,
1990-03-14,,,-0.04,0.04412,,,,
1990-03-15,,,-0.04,0.04412,,,,
1990-03-16,,,-0.05,0.04412,,,,
1990-03-19,,,-0.05,0.04964,,,,
1990-03-20,,,-0.09,0.04964,,,,
1990-03-21,,,-0.14,0.04964,,,,
1990-03-22,,,-0.14,0.04964,,,,
1990-03-23,,,-0.09,0.04964,,,,
1990-03-26,,,-0.09,0.06046,,,,
1990-03-27,,,-0.1,0.06046,,,,
1990-03-28,,,-0.07,0.06046,,,,
1990-03-29,,,-0.06,0.06046,,,,
1990-03-30,,,-0.02,0.06046,,,,
1990-04-02,,,0.01,0.07539,,,,
1990-04-03,,,0.03,0.07539,,,,
1990-04-04,,,0.02,0.07539,,,,
1990-04-05,,,0.01,0.07539,,,,
1990-04-06,,,0.03,0.07539,,,,
1990-04-09,,,0.04,0.09189,,,,
1990-04-10,,,0.05,0.09189,,,,
1990-04-11,,,0.06,0.09189,,,,
1990-04-12,,,0.07,0.09189,,,,
1990-04-13,,,0.07,0.09189,,,,
1990-04-16,,,0.07,0.10444,,,,
1990-04-17,,,0.07,0.10444,,,,
1990-04-18,,,0.07,0.10444,,,,
1990-04-19,,,0.07,0.10444,,,,
1990-04-20,,,0.06,0.10444,,,,
1990-04-23,,,0.13,0.11108,,,,
1990-04-24,,,0.11,0.11108,,,,
1990-04-25,,,0.08,0.11108,,,,
1990-04-26,,,0.06,0.11108,,,,
1990-04-27,,,0.04,0.11108,,,,
1990-04-30,,,0.08,0.10826,,,,
1990-05-01,,,0.08,0.10826,,,,
1990-05-02,,,0.06,0.10826,,,,
1990-05-03,,,0.04,0.10826,,,,
1990-05-04,,,0.06,0.10826,,,,
1990-05-07,,,0.14,0.09363,,,,
1990-05-08,,,0.13,0.09363,,,,
1990-05-09,,,0.16,0.09363,,,,
1990-05-10,,,0.13,0.09363,,,,
1990-05-11,,,0.13,0.09363,,,,
1990-05-14,,,0.09,0.06798,,,,
1990-05-15,,,0.1,0.06798,,,,
1990-05-16,,,0.11,0.06798,,,,
1990-05-17,,,0.14,0.06798,,,,
1990-05-18,,,0.13,0.06798,,,,
1990-05-21,,,0.12,0.03297,,,,
1990-05-22,,,0.13,0.03297,,,,
1990-05-23,,,0.11,0.03297,,,,
1990-05-24,,,0.1,0.03297,,,,
1990-05-25,,,0.13,0.03297,,,,
1990-05-28,,,0.16,-0.00813,,,,
1990-05-29,,,0.16,-0.00813,,,,
1990-05-30,,,0.14,-0.00813,,,,
1990-05-31,,,0.14,-0.00813,,,,
1990-06-01,,,0.1,-0.00813,,,,
