date,variant,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,effective_entropy,orthogonal_confidence,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final
2018-01-01,barbell_balance,MID_CYCLE,0.005621118742512105,0.9712214478395378,0.0051901291902932255,0.017967304227656897,0.1132545673239139,0.10472255118216793,0.37667426327028203,False,1.0,1.0,1.0,1.0,1.0
2018-01-03,barbell_balance,MID_CYCLE,0.008071753283067694,0.9821914224385384,0.0025804205448524027,0.0071564037335414546,0.07738584812391014,0.069944076041735,0.480822544598812,False,1.0,1.0,1.0,1.0,1.0
2018-01-04,barbell_balance,MID_CYCLE,0.019105734166057334,0.9686020647387926,0.0032753568445281103,0.009016844250621827,0.12097897619200489,0.1081091690953607,0.5319026289418503,False,1.0,1.0,1.0,1.0,1.0
2018-01-05,barbell_balance,MID_CYCLE,0.07283376076720897,0.9064360181676907,0.005615386229118657,0.015114834835981347,0.26855769708432975,0.23981890643211035,0.5350580334175854,False,1.0,1.0,1.0,1.0,1.0
2018-01-08,barbell_balance,MID_CYCLE,0.0985269289369592,0.8772562947929139,0.006629363520898144,0.017587412749228894,0.3228236348426736,0.2890321584937674,0.5233736427844622,False,1.0,1.0,1.0,1.0,1.0
2018-01-09,barbell_balance,MID_CYCLE,0.09546241888078,0.8801186159470077,0.00672668468728213,0.017692280484930177,0.3185901400591206,0.28675896172511417,0.49956314291615506,False,1.0,1.0,1.0,1.0,1.0
2018-01-10,barbell_balance,MID_CYCLE,0.036697523457676344,0.9452792147838198,0.005029364037999008,0.012993897720504782,0.18577318464144268,0.16912621749933968,0.4480454801437842,False,1.0,1.0,1.0,1.0,1.0
2018-01-11,barbell_balance,MID_CYCLE,0.01296023616516346,0.9766134322832812,0.0028471140503538266,0.007579217501201449,0.09603083872480664,0.08708287389334868,0.46589017394193255,False,1.0,1.0,1.0,1.0,1.0
2018-01-15,barbell_balance,MID_CYCLE,0.019331565150077275,0.9631311160089151,0.0048920662383865315,0.012645252602621069,0.13976512342530054,0.12855800899509032,0.4009267174653917,False,1.0,1.0,1.0,1.0,1.0
2018-01-17,barbell_balance,MID_CYCLE,0.04782831221726624,0.9175656755670477,0.00978666757304945,0.024819344642636527,0.26066594602016874,0.24222795713276704,0.35367084133757676,False,1.0,1.0,1.0,1.0,1.0
2018-01-18,barbell_balance,MID_CYCLE,0.10259516071251909,0.8475673408314947,0.014132469618104467,0.03570502883788169,0.3988765524382541,0.37202828443681013,0.33654858674100707,False,1.0,1.0,1.0,1.0,1.0
2018-01-22,barbell_balance,MID_CYCLE,0.030090249170065492,0.9517105649998824,0.005118574669631439,0.013080611160420592,0.1704202564802991,0.15762468140903443,0.3754123874571166,False,1.0,1.0,1.0,1.0,1.0
2018-01-23,barbell_balance,MID_CYCLE,0.023560394275364258,0.9633567351947876,0.0036871364115168086,0.00939573411833125,0.13618002295025106,0.1252810683669216,0.4001671591475285,False,1.0,1.0,1.0,1.0,1.0
2018-01-24,barbell_balance,MID_CYCLE,0.009718329235255969,0.9805858379443024,0.0027389185693320116,0.006956914251109631,0.08293976715316066,0.07633244790443268,0.39832033989959137,False,1.0,1.0,1.0,1.0,1.0
2018-01-25,barbell_balance,MID_CYCLE,0.008688530756078212,0.9817618185712464,0.0027188148086275225,0.006830835864047822,0.07893465362299265,0.07282215877413618,0.38718703182324316,False,1.0,1.0,1.0,1.0,1.0
2018-01-26,barbell_balance,MID_CYCLE,0.011519919366529623,0.9782743342370982,0.0028988786177586326,0.007306867778613453,0.09073872900934775,0.0834477089511198,0.4017589918785858,False,1.0,1.0,1.0,1.0,1.0
2018-01-29,barbell_balance,MID_CYCLE,0.014491975281562758,0.9747588112545787,0.003069438160770226,0.007679775303088315,0.1020244523717809,0.0932090928795046,0.4320218970719294,False,1.0,1.0,1.0,1.0,1.0
2018-01-30,barbell_balance,MID_CYCLE,0.016266299756894347,0.9645710719475585,0.005552192060456883,0.013610436235090216,0.13641238710397002,0.12825161830168702,0.2991212519455099,False,1.0,1.0,1.0,1.0,1.0
2018-01-31,barbell_balance,MID_CYCLE,0.006070176025539082,0.9801214029914586,0.003962507998398463,0.009845912984603819,0.08517329102820545,0.08053227924232008,0.27244525424927385,False,1.0,1.0,1.0,1.0,1.0
2018-02-01,barbell_balance,MID_CYCLE,0.005181219345013196,0.9809651251796172,0.003995202087959025,0.009858453387410608,0.08203479519103017,0.07725518490401191,0.29131603704795206,False,1.0,1.0,1.0,1.0,1.0
2018-02-05,barbell_balance,MID_CYCLE,0.0003854463205759311,0.8960298016562259,0.025208523187988465,0.07837622883520957,0.28402604490405675,0.26090812994286405,0.4069682230902783,False,1.0,1.0,1.0,1.0,1.0
2018-02-06,barbell_balance,MID_CYCLE,0.0004237400398504563,0.9140557625027086,0.017402260294583687,0.06811823716285717,0.2444870121371524,0.22531703836837202,0.392044828909488,False,1.0,1.0,1.0,1.0,1.0
2018-02-07,barbell_balance,MID_CYCLE,0.00040578736006447705,0.8669486398691586,0.02246537450671091,0.11018019826406593,0.32838580889533253,0.3012933675246019,0.4125093203915808,False,1.0,1.0,1.0,1.0,1.0
2018-02-08,barbell_balance,MID_CYCLE,0.000244329646776401,0.6436760167927746,0.07379806306356666,0.28228159049688223,0.6023271320638871,0.5428995368222683,0.4933166055295307,False,1.0,1.0,1.0,1.0,1.0
2018-02-09,barbell_balance,MID_CYCLE,0.0002357998343276771,0.7187961490504927,0.04526418263928358,0.2357038684758961,0.5193973336622558,0.46896448169348304,0.4854939436555456,False,1.0,1.0,1.0,1.0,1.0
2018-02-12,barbell_balance,MID_CYCLE,0.00022972057934492651,0.8317548074508304,0.018037069998037107,0.1499784019717875,0.36941789782937057,0.33477645324963207,0.46886527132666084,False,1.0,1.0,1.0,1.0,1.0
2018-02-13,barbell_balance,MID_CYCLE,0.0002673844296838197,0.89113203926251,0.013681900791716247,0.09491867551609001,0.2792629485867808,0.2546415450239064,0.44082832483635576,False,1.0,1.0,1.0,1.0,1.0
2018-02-14,barbell_balance,MID_CYCLE,0.00035888414485857204,0.8715127016044415,0.014317319813301031,0.11381109443739883,0.3107802658713214,0.28365387297338013,0.4364239927185883,False,1.0,1.0,1.0,1.0,1.0
