name,family,feature_count,features,selection_top1_accuracy,selection_mean_brier,selection_mean_entropy,selection_stable_critical_recall,selection_raw_critical_recall,selection_mean_true_regime_probability,selection_mean_true_regime_rank,selection_mean_expected_l1_error,selection_min_regime_true_probability,selection_max_regime_true_rank,holdout_top1_accuracy,holdout_mean_brier,holdout_mean_entropy,holdout_stable_critical_recall,holdout_raw_critical_recall,holdout_mean_true_regime_probability,holdout_mean_true_regime_rank,holdout_mean_expected_l1_error,holdout_min_regime_true_probability,holdout_max_regime_true_rank,rank::selection_top1_accuracy,rank::selection_mean_brier,rank::selection_mean_entropy,rank::selection_stable_critical_recall,rank::selection_mean_true_regime_probability,rank::selection_mean_true_regime_rank,rank::selection_mean_expected_l1_error,rank::selection_min_regime_true_probability,rank::selection_max_regime_true_rank,selection_composite_rank
drop_erp_absolute,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,spread_absolute,pmi_momentum,labor_slack",0.4606525911708253,0.6664716476780365,0.8100439936226186,0.0,0.0,0.3501336862078461,1.7869481765834934,1.2997326275843075,0.251042051454171,2.3065134099616857,0.6737918215613383,0.4453631246064584,0.6685988750442946,0.7526881720430108,0.7526881720430108,0.5180334734826584,1.4721189591078068,0.963933053034683,0.3838113807482454,1.9005847953216377,1.0,1.0,71.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0
drop_real_yield_structural_z,leave_one_out,11,"move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1900191938579654,0.8562444877247916,0.7509990064745528,0.0,0.0,0.2711642863064981,2.201535508637236,1.457671427387004,0.2587946728577673,2.2337164750957856,0.658457249070632,0.4568139588278119,0.6915964101201104,0.8333333333333334,0.8333333333333334,0.5054643979584444,1.453996282527881,0.989071204083111,0.3521958148517456,1.9239766081871343,35.0,2.0,70.0,1.0,2.0,2.0,2.0,1.0,1.0,12.88888888888889
qqq_core_9__move_21d__copper_gold_roc_126d__usdjpy_roc_126d,core_plus_optional,9,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2053742802303263,0.9396953468408796,0.6865333412733157,0.0,0.0,0.2498246730487553,2.404990403071017,1.5003506539024891,0.1733538786167315,2.7662835249042144,0.6421933085501859,0.4726398371338208,0.587986102632901,0.6290322580645161,0.6290322580645161,0.5349434705171904,1.5157992565055762,0.9301130589656196,0.2656492005041354,2.309941520467836,16.0,9.0,21.0,1.0,3.0,33.0,3.0,23.0,40.0,16.555555555555557
qqq_core_10__move_21d__copper_gold_roc_126d__usdjpy_roc_126d__labor_slack,core_plus_optional,10,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2053742802303263,0.9396953468408796,0.6865333412733157,0.0,0.0,0.2498246730487553,2.404990403071017,1.5003506539024891,0.1733538786167315,2.7662835249042144,0.6421933085501859,0.4726398371338208,0.587986102632901,0.6290322580645161,0.6290322580645161,0.5349434705171904,1.5157992565055762,0.9301130589656196,0.2656492005041354,2.309941520467836,16.0,9.0,21.0,1.0,3.0,33.0,3.0,23.0,40.0,16.555555555555557
drop_spread_21d,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2034548944337812,0.9412316498562736,0.6852294665380776,0.0,0.0,0.2495956603492685,2.404990403071017,1.500808679301463,0.1730819475619765,2.7624521072796937,0.6435873605947955,0.4708081611405921,0.5878985296177504,0.6290322580645161,0.6290322580645161,0.5358081289492688,1.513011152416357,0.9283837421014626,0.2715858390099235,2.298245614035088,22.0,17.0,17.0,1.0,5.0,33.0,5.0,25.0,38.0,18.11111111111111
qqq_core_10__move_21d__breakeven_accel__copper_gold_roc_126d__usdjpy_roc_126d,core_plus_optional,10,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2034548944337812,0.9412316498562736,0.6852294665380776,0.0,0.0,0.2495956603492685,2.404990403071017,1.500808679301463,0.1730819475619765,2.7624521072796937,0.6435873605947955,0.4708081611405921,0.5878985296177504,0.6290322580645161,0.6290322580645161,0.5358081289492688,1.513011152416357,0.9283837421014626,0.2715858390099235,2.298245614035088,22.0,17.0,17.0,1.0,5.0,33.0,5.0,25.0,38.0,18.11111111111111
drop_breakeven_accel,leave_one_out,11,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1669865642994241,0.9410005927819064,0.7089019547559542,0.0,0.0,0.2454474097387975,2.322456813819578,1.509105180522405,0.1893894529861273,2.4980842911877397,0.6840148698884758,0.4597506055578282,0.5898188689671606,0.8139784946236559,0.8139784946236559,0.5427087302829409,1.441914498141264,0.9145825394341186,0.3256409358143944,1.935672514619883,46.0,15.0,58.0,1.0,17.0,21.0,17.0,4.0,11.0,21.11111111111111
qqq_core_10__move_21d__copper_gold_roc_126d__usdjpy_roc_126d__spread_21d,core_plus_optional,10,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1669865642994241,0.9410005927819064,0.7089019547559542,0.0,0.0,0.2454474097387975,2.322456813819578,1.509105180522405,0.1893894529861273,2.4980842911877397,0.6840148698884758,0.4597506055578282,0.5898188689671606,0.8139784946236559,0.8139784946236559,0.5427087302829409,1.441914498141264,0.9145825394341186,0.3256409358143944,1.935672514619883,46.0,15.0,58.0,1.0,17.0,21.0,17.0,4.0,11.0,21.11111111111111
qqq_core_9__move_21d__breakeven_accel__copper_gold_roc_126d,core_plus_optional,9,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2072936660268714,0.9389620880690064,0.6895836103012368,0.0,0.0,0.2482624228139759,2.418426103646833,1.503475154372048,0.1614105417754568,2.8237547892720305,0.6268587360594795,0.4842536060506841,0.5948643588583543,0.6408602150537634,0.6408602150537634,0.5264274657249516,1.5223048327137547,0.9471450685500968,0.2667084213650564,2.3216374269005846,8.0,7.0,25.0,1.0,9.0,51.0,9.0,34.0,48.0,21.333333333333332
qqq_core_10__move_21d__breakeven_accel__copper_gold_roc_126d__labor_slack,core_plus_optional,10,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2072936660268714,0.9389620880690064,0.6895836103012368,0.0,0.0,0.2482624228139759,2.418426103646833,1.503475154372048,0.1614105417754568,2.8237547892720305,0.6268587360594795,0.4842536060506841,0.5948643588583543,0.6408602150537634,0.6408602150537634,0.5264274657249516,1.5223048327137547,0.9471450685500968,0.2667084213650564,2.3216374269005846,8.0,7.0,25.0,1.0,9.0,51.0,9.0,34.0,48.0,21.333333333333332
