name,family,feature_count,features,selection_top1_accuracy,selection_mean_brier,selection_mean_entropy,selection_stable_critical_recall,selection_raw_critical_recall,selection_mean_true_regime_probability,selection_mean_true_regime_rank,selection_mean_expected_l1_error,selection_min_regime_true_probability,selection_max_regime_true_rank,holdout_top1_accuracy,holdout_mean_brier,holdout_mean_entropy,holdout_stable_critical_recall,holdout_raw_critical_recall,holdout_mean_true_regime_probability,holdout_mean_true_regime_rank,holdout_mean_expected_l1_error,holdout_min_regime_true_probability,holdout_max_regime_true_rank,rank::selection_top1_accuracy,rank::selection_mean_brier,rank::selection_mean_entropy,rank::selection_stable_critical_recall,rank::selection_mean_true_regime_probability,rank::selection_mean_true_regime_rank,rank::selection_mean_expected_l1_error,rank::selection_min_regime_true_probability,rank::selection_max_regime_true_rank,selection_composite_rank,selection_top1_accuracy_delta,selection_mean_brier_delta,selection_mean_entropy_delta,selection_mean_true_regime_probability_delta,holdout_top1_accuracy_delta,holdout_mean_brier_delta,holdout_mean_entropy_delta
drop_erp_absolute,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,spread_absolute,pmi_momentum,labor_slack",0.4606525911708253,0.6664716476780365,0.8100439936226186,0.0,0.0,0.3501336862078461,1.7869481765834934,1.2997326275843075,0.251042051454171,2.3065134099616857,0.6737918215613383,0.4453631246064584,0.6685988750442946,0.7526881720430108,0.7526881720430108,0.5180334734826584,1.4721189591078068,0.963933053034683,0.3838113807482454,1.9005847953216377,1.0,1.0,71.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,0.2955854126679463,-0.27576178514845473,0.10225965031355921,0.10491457948101399,-0.009293680297397744,-0.012826005623996217,0.07937650727953616
drop_real_yield_structural_z,leave_one_out,11,"move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1900191938579654,0.8562444877247916,0.7509990064745528,0.0,0.0,0.2711642863064981,2.201535508637236,1.457671427387004,0.2587946728577673,2.2337164750957856,0.658457249070632,0.4568139588278119,0.6915964101201104,0.8333333333333334,0.8333333333333334,0.5054643979584444,1.453996282527881,0.989071204083111,0.3521958148517456,1.9239766081871343,35.0,2.0,70.0,1.0,2.0,2.0,2.0,1.0,1.0,12.88888888888889,0.0249520153550864,-0.08598894510169963,0.04321466316549338,0.025945179579665995,-0.0246282527881041,-0.0013751714026427053,0.10237404235535197
drop_spread_21d,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2034548944337812,0.9412316498562736,0.6852294665380776,0.0,0.0,0.2495956603492685,2.404990403071017,1.500808679301463,0.1730819475619765,2.7624521072796937,0.6435873605947955,0.4708081611405921,0.5878985296177504,0.6290322580645161,0.6290322580645161,0.5358081289492688,1.513011152416357,0.9283837421014626,0.2715858390099235,2.298245614035088,22.0,17.0,17.0,1.0,5.0,33.0,5.0,25.0,38.0,18.11111111111111,0.038387715930902205,-0.0010017829702175796,-0.02255487677098178,0.004376553622436413,-0.03949814126394058,0.012619030910137496,-0.001323838147008094
drop_breakeven_accel,leave_one_out,11,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1669865642994241,0.9410005927819064,0.7089019547559542,0.0,0.0,0.2454474097387975,2.322456813819578,1.509105180522405,0.1893894529861273,2.4980842911877397,0.6840148698884758,0.4597506055578282,0.5898188689671606,0.8139784946236559,0.8139784946236559,0.5427087302829409,1.441914498141264,0.9145825394341186,0.3256409358143944,1.935672514619883,46.0,15.0,58.0,1.0,17.0,21.0,17.0,4.0,11.0,21.11111111111111,0.0019193857965451033,-0.0012328400445847931,0.0011176114468948173,0.00022830301196541392,0.0009293680297397522,0.001561475327373607,0.0005965012024021776
drop_pmi_momentum,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,labor_slack",0.165067178502879,0.9422334328264912,0.7077843433090594,0.0,0.0,0.2452191067268321,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.912803396028512,0.3327097506625129,1.932748538011696,54.0,24.0,54.0,1.0,22.0,17.0,21.0,6.0,7.0,22.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_labor_slack,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.165067178502879,0.9422334328264912,0.7077843433090594,0.0,0.0,0.2452191067268321,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.912803396028512,0.3327097506625129,1.932748538011696,54.0,24.0,54.0,1.0,22.0,17.0,21.0,6.0,7.0,22.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_move_21d,leave_one_out,11,"real_yield_structural_z,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1708253358925144,0.943764511628939,0.7062500988916176,0.0,0.0,0.2448266970589855,2.307101727447217,1.5103466058820287,0.1849510163080226,2.4865900383141764,0.679368029739777,0.453840696163133,0.5953683712656385,0.8118279569892473,0.8118279569892473,0.5435224419779117,1.446561338289963,0.9129551160441768,0.3242660241715608,1.953216374269006,40.0,31.0,50.0,1.0,27.0,12.0,27.0,13.0,5.0,22.88888888888889,0.005758157389635393,0.0015310788024478494,-0.0015342444174417658,-0.0003924096678465938,-0.0037174721189591198,-0.004348434067321605,0.006146003500880015
drop_spread_absolute,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,pmi_momentum,labor_slack",0.1996161228406909,0.9442825348573336,0.7192632460709588,0.0,0.0,0.2434352716303192,2.2763915547024953,1.5131294567393616,0.2067376961851214,2.3448275862068964,0.6273234200743495,0.4952657542334192,0.6072945179726695,0.8064516129032258,0.8064516129032258,0.5190167510870467,1.5436802973977697,0.9619664978259064,0.3740955439514139,1.9005847953216377,26.0,33.0,68.0,1.0,35.0,3.0,35.0,3.0,3.0,23.0,0.034548944337811915,0.002049102030842409,0.011478902761899445,-0.0017838350965128924,-0.055762081784386575,0.037076624002964575,0.018072150207911086
drop_usdjpy_roc_126d,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1669865642994241,0.93970778695948,0.7136995596307606,0.0,0.0,0.2437289334428856,2.3051823416506716,1.512542133114229,0.1782986444522761,2.5019157088122603,0.6370817843866171,0.4824305319828423,0.5960376229260692,0.8021505376344086,0.8021505376344086,0.5287719052808894,1.474907063197026,0.9424561894382212,0.3262158896069197,1.9064327485380117,46.0,11.0,64.0,1.0,31.0,10.0,31.0,17.0,15.0,25.11111111111111,0.0019193857965451033,-0.002525645867011206,0.005915216321701222,-0.0014901732839464887,-0.046003717472118955,0.024241401752387703,0.006815255161310763
drop_core_capex_momentum,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1612284069097888,0.9559174074578224,0.7026241959468815,0.0,0.0,0.2407302934587233,2.3166986564299425,1.5185394130825531,0.1859854354898374,2.475095785440613,0.6881970260223048,0.4586764027993677,0.591286816646068,0.8182795698924731,0.8182795698924731,0.5425981381593066,1.4400557620817844,0.9148037236813868,0.3263924110395095,1.935672514619883,59.0,38.0,43.0,1.0,38.0,16.0,38.0,10.0,4.0,27.444444444444443,-0.0038387715930902067,0.013683974631331197,-0.005160147362177847,-0.004488813268108793,0.005111524163568748,0.0004872725689131219,0.002064448881309522
