date,actual_regime,actual_regime_probability,predicted_regime,brier,test_type,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY,prob_delta_MID_CYCLE,prob_acceleration_MID_CYCLE,prob_trend_MID_CYCLE,prob_delta_LATE_CYCLE,prob_acceleration_LATE_CYCLE,prob_trend_LATE_CYCLE,prob_delta_BUST,prob_acceleration_BUST,prob_trend_BUST,prob_delta_RECOVERY,prob_acceleration_RECOVERY,prob_trend_RECOVERY
2018-01-02,LATE_CYCLE,0.17690145937506718,MID_CYCLE,0.9846669033773939,VALIDATION,0.4200783842943869,0.17690145937506718,0.04419316292287402,0.358826993407672,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT
2018-01-03,LATE_CYCLE,0.18138048534084028,MID_CYCLE,0.9972485661787247,VALIDATION,0.46613335301823844,0.18138048534084028,0.021797125017587748,0.3306890366233336,0.0460549687,0.0,RISING,0.0044790259,0.0,RISING,-0.0223960379,0.0,FALLING,-0.0281379568,0.0,FALLING
2018-01-04,LATE_CYCLE,0.08040968309098766,MID_CYCLE,1.2871440384880761,VALIDATION,0.5707520123999579,0.08040968309098766,0.008745155305276477,0.3400931492037781,0.1046186594,0.0585636907,RISING,-0.1009708022,-0.1054498282,FALLING,-0.0130519697,0.0093440682,FALLING,0.0094041126,0.0375420694,RISING
2018-01-05,LATE_CYCLE,0.056305554287990736,MID_CYCLE,1.3756031686262091,VALIDATION,0.6203935987333293,0.056305554287990736,0.006902199621251998,0.31639864735742795,0.0496415863,-0.0549770731,RISING,-0.0241041288,0.0768666734,FALLING,-0.0018429557,0.011209014,FALLING,-0.0236945018,-0.0330986144,FALLING
2018-01-08,LATE_CYCLE,0.0794762237407026,MID_CYCLE,1.3167715146010501,VALIDATION,0.6218611407464234,0.0794762237407026,0.011315868175271825,0.2873467673376022,0.001467542,-0.0481740443,RISING,0.0231706694,0.0472747982,RISING,0.0044136686,0.0062566243,RISING,-0.0290518801,-0.0053573783,FALLING
2018-01-09,LATE_CYCLE,0.14718852236880142,MID_CYCLE,1.127656793907188,VALIDATION,0.5786287083706662,0.14718852236880142,0.018832981340506087,0.25534978792002644,-0.0432324323,-0.0446999743,FALLING,0.0677122987,0.0445416292,RISING,0.0075171131,0.0031034445,RISING,-0.0319969794,-0.0029450994,FALLING
2018-01-10,LATE_CYCLE,0.16674008105916696,MID_CYCLE,1.0867828533398838,VALIDATION,0.5797139621875006,0.16674008105916696,0.016660066376102407,0.23688589037723007,0.0010852538,0.0443176862,RISING,0.0195515587,-0.0481607399,RISING,-0.0021729149,-0.0096900281,FALLING,-0.0184638975,0.0135330819,FALLING
2018-01-11,LATE_CYCLE,0.08445452312699583,MID_CYCLE,1.3299739939118023,VALIDATION,0.6570491172345725,0.08445452312699583,0.01386458640729683,0.24463177323113483,0.077335155,0.0762499012,RISING,-0.082285558,-0.1018371167,FALLING,-0.00279548,-0.000622565,FALLING,0.0077458828,0.0262097803,RISING
2018-01-12,LATE_CYCLE,0.05660773253409118,MID_CYCLE,1.4321670027794733,VALIDATION,0.6959304919957342,0.05660773253409118,0.007025880095838471,0.24043589537433618,0.0388813748,-0.0384537802,RISING,-0.0278467906,0.0544387673,FALLING,-0.0068387063,-0.0040432263,FALLING,-0.0041958778,-0.0119417607,FALLING
2018-01-16,LATE_CYCLE,0.0750065438021118,MID_CYCLE,1.3783856495781281,VALIDATION,0.6876887540889821,0.0750065438021118,0.014488604368624786,0.22281609774028135,-0.0082417379,-0.0471231127,FALLING,0.0183988113,0.0462456019,RISING,0.0074627243,0.0143014306,RISING,-0.0176197977,-0.0134239198,FALLING
2018-01-17,LATE_CYCLE,0.0993668681678175,MID_CYCLE,1.2985052294323576,VALIDATION,0.6615578561569181,0.0993668681678175,0.01675655855751224,0.22231871711775225,-0.0261308979,-0.01788916,FALLING,0.0243603244,0.0059615131,RISING,0.0022679542,-0.0051947701,RISING,-0.0004973806,0.017122417,FALLING
2018-01-18,LATE_CYCLE,0.1203050682068067,MID_CYCLE,1.252386749582183,VALIDATION,0.6596574952504118,0.1203050682068067,0.012122526365511229,0.20791491017727026,-0.0019003609,0.024230537,FALLING,0.0209382,-0.0034221244,RISING,-0.0046340322,-0.0069019864,FALLING,-0.0144038069,-0.0139064263,FALLING
2018-01-19,LATE_CYCLE,0.05582475085741703,MID_CYCLE,1.5058758370439864,VALIDATION,0.7660157780677166,0.05582475085741703,0.012403907746008797,0.1657555633288576,0.1063582828,0.1082586437,RISING,-0.0644803173,-0.0854185173,FALLING,0.0002813813,0.0049154135,RISING,-0.0421593469,-0.02775554,FALLING
2018-01-22,LATE_CYCLE,0.047992555921867734,MID_CYCLE,1.567421160506119,VALIDATION,0.8009573135758634,0.047992555921867734,0.011641194857659366,0.1394089356446095,0.0349415355,-0.0714167473,RISING,-0.007832195,0.0566481223,FALLING,-0.0007627128,-0.0010440942,FALLING,-0.0263466277,0.0158127191,FALLING
2018-01-23,LATE_CYCLE,0.04639284335697937,MID_CYCLE,1.5907279974823199,VALIDATION,0.8155529720000398,0.04639284335697937,0.011125196002300209,0.12692898864068056,0.0145956584,-0.0203458771,RISING,-0.0015997125,0.0062324824,FALLING,-0.0005159989,0.000246714,FALLING,-0.012479947,0.0138666807,FALLING
2018-01-24,LATE_CYCLE,0.04555471239939341,MID_CYCLE,1.601988753233147,VALIDATION,0.8223315799743355,0.04555471239939341,0.010980983798783582,0.12113272382748758,0.006778608,-0.0078170504,RISING,-0.000838131,0.0007615816,FALLING,-0.0001442122,0.0003717867,FALLING,-0.0057962648,0.0066836822,FALLING
2018-01-25,LATE_CYCLE,0.04512505350675755,MID_CYCLE,1.60740431323961,VALIDATION,0.825506921845483,0.04512505350675755,0.010886108630048113,0.11848191601771134,0.0031753418,-0.0036032662,RISING,-0.0004296589,0.0004084721,FALLING,-9.48752e-05,4.9337e-05,FALLING,-0.0026508078,0.003145457,FALLING
2018-01-26,LATE_CYCLE,0.044277402188326015,MID_CYCLE,1.6093936233249215,VALIDATION,0.825537084306661,0.044277402188326015,0.010309876998874187,0.1198756365061388,3.01625e-05,-0.0031451794,RISING,-0.0008476513,-0.0004179924,FALLING,-0.0005762316,-0.0004813564,FALLING,0.0013937205,0.0040445283,RISING
2018-01-29,LATE_CYCLE,0.04436021398163823,MID_CYCLE,1.6049384393348853,VALIDATION,0.8224718402874747,0.04436021398163823,0.010173602530248722,0.12299434320063836,-0.003065244,-0.0030954065,FALLING,8.28118e-05,0.0009304631,RISING,-0.0001362745,0.0004399571,FALLING,0.0031187067,0.0017249862,RISING
2018-01-30,LATE_CYCLE,0.044467102155902744,MID_CYCLE,1.601842360660801,VALIDATION,0.8204437940709353,0.044467102155902744,0.010331399596946891,0.12475770417621518,-0.0020280462,0.0010371978,FALLING,0.0001068882,2.40764e-05,RISING,0.0001577971,0.0002940716,RISING,0.001763361,-0.0013553457,RISING
2018-01-31,LATE_CYCLE,0.045439142583526736,MID_CYCLE,1.6012595817677204,VALIDATION,0.8216089662843274,0.045439142583526736,0.010826349433487266,0.12212554169865861,0.0011651722,0.0031932184,RISING,0.0009720404,0.0008651522,RISING,0.0004949498,0.0003371527,RISING,-0.0026321625,-0.0043955235,FALLING
2018-02-01,LATE_CYCLE,0.04690757270117986,MID_CYCLE,1.6058756266246919,VALIDATION,0.8272597649858962,0.04690757270117986,0.011853607798635524,0.11397905451428855,0.0056507987,0.0044856265,RISING,0.0014684301,0.0004963897,RISING,0.0010272584,0.0005323086,RISING,-0.0081464872,-0.0055143247,FALLING
2018-02-02,LATE_CYCLE,0.05213816825313512,MID_CYCLE,1.6058645911733458,VALIDATION,0.8349644125032765,0.05213816825313512,0.012380266785956875,0.10051715245763154,0.0077046475,0.0020538488,RISING,0.0052305956,0.0037621655,RISING,0.000526659,-0.0005005994,RISING,-0.013461902,-0.0053154148,FALLING
2018-02-05,LATE_CYCLE,0.2146612479888455,MID_CYCLE,1.08536672121092,VALIDATION,0.6801354124071594,0.2146612479888455,0.036921821934294434,0.06828151766970075,-0.1548290001,-0.1625336476,FALLING,0.1625230797,0.1572924841,RISING,0.0245415551,0.0240148961,RISING,-0.0322356348,-0.0187737327,FALLING
2018-02-06,LATE_CYCLE,0.3254420249207341,MID_CYCLE,0.8009811362995102,VALIDATION,0.5843079490150573,0.3254420249207341,0.029887531744295433,0.06036249431991318,-0.0958274634,0.0590015367,FALLING,0.1107807769,-0.0517423028,RISING,-0.0070342902,-0.0315758453,FALLING,-0.0079190234,0.0243166114,FALLING
2018-02-07,LATE_CYCLE,0.38967758200520153,MID_CYCLE,0.6381215632924173,VALIDATION,0.51043555956393,0.38967758200520153,0.04305297660100977,0.05683388182985868,-0.0738723894,0.021955074,FALLING,0.0642355571,-0.0465452198,RISING,0.0131654449,0.0201997351,RISING,-0.0035286125,0.0043904108,FALLING
2018-02-08,LATE_CYCLE,0.4782314824473711,LATE_CYCLE,0.436649410005322,VALIDATION,0.39510029457247603,0.4782314824473711,0.075173916567057,0.051494306413095846,-0.115335265,-0.0414628755,FALLING,0.0885539004,0.0243183433,RISING,0.03212094,0.0189554951,RISING,-0.0053395754,-0.0018109629,FALLING
2018-02-09,LATE_CYCLE,0.4893700827311102,LATE_CYCLE,0.4089814534774092,VALIDATION,0.37137936285383943,0.4893700827311102,0.08723992255171073,0.05201063186333957,-0.0237209317,0.0916143333,FALLING,0.0111386003,-0.0774153001,RISING,0.012066006,-0.020054934,RISING,0.0005163255,0.0058559009,RISING
2018-02-12,LATE_CYCLE,0.5255531656292008,LATE_CYCLE,0.35286690354498257,VALIDATION,0.3449215621904385,0.5255531656292008,0.07904239046340435,0.050482881716956376,-0.0264578007,-0.002736869,FALLING,0.0361830829,0.0250444826,RISING,-0.0081975321,-0.0202635381,FALLING,-0.0015277502,-0.0020440757,FALLING
2018-02-13,LATE_CYCLE,0.5496358787255138,LATE_CYCLE,0.31819420461174136,VALIDATION,0.32805303195859337,0.5496358787255138,0.07272208732105787,0.04958900199483498,-0.0168685302,0.0095892705,FALLING,0.0240827131,-0.0121003698,RISING,-0.0063203032,0.0018772289,FALLING,-0.0008938797,0.0006338704,FALLING
2018-02-14,LATE_CYCLE,0.365051574968397,MID_CYCLE,0.6573940072324346,VALIDATION,0.4943092174394923,0.365051574968397,0.07158628856538835,0.06905291902672239,0.1662561854,0.1831247156,RISING,-0.1845843037,-0.2086670168,FALLING,-0.0011357987,0.0051845044,FALLING,0.019463917,0.0203577967,RISING
2018-02-15,LATE_CYCLE,0.27137871208932834,MID_CYCLE,0.9111895078588318,VALIDATION,0.6107963378939002,0.27137871208932834,0.04693330862672718,0.07089164139004438,0.1164871205,-0.049769065,RISING,-0.0936728629,0.0909114409,FALLING,-0.02465298,-0.0235171812,FALLING,0.0018387224,-0.0176251946,RISING
2018-02-16,LATE_CYCLE,0.07766009175883806,MID_CYCLE,1.5396639741091134,VALIDATION,0.8261692920277492,0.07766009175883806,0.018311368379723685,0.07785924783368903,0.2153729541,0.0988858336,RISING,-0.1937186203,-0.1000457574,FALLING,-0.0286219402,-0.0039689603,FALLING,0.0069676064,0.005128884,RISING
2018-02-20,LATE_CYCLE,0.04658672577980054,MID_CYCLE,1.6632005187523515,VALIDATION,0.8656751543358514,0.04658672577980054,0.02194663286110047,0.06579148702324766,0.0395058623,-0.1758670918,RISING,-0.031073366,0.1626452543,FALLING,0.0036352645,0.0322572047,RISING,-0.0120677608,-0.0190353672,FALLING
2018-02-21,LATE_CYCLE,0.04289237356822158,MID_CYCLE,1.6800454095113377,VALIDATION,0.8716774733526725,0.04289237356822158,0.0265963318705948,0.05883382120851111,0.0060023191,-0.0335035432,RISING,-0.0036943522,0.0273790138,FALLING,0.004649699,0.0010144345,RISING,-0.0069576658,0.005110095,FALLING
2018-02-22,LATE_CYCLE,0.0435423881630368,MID_CYCLE,1.6851268676928568,VALIDATION,0.8755165823130749,0.0435423881630368,0.02449094316835774,0.05645008635553046,0.0038391089,-0.0021632101,RISING,0.0006500146,0.0043443668,RISING,-0.0021053887,-0.0067550877,FALLING,-0.0023837348,0.004573931,FALLING
2018-02-23,LATE_CYCLE,0.046495553223502635,MID_CYCLE,1.6919065196521523,VALIDATION,0.8828229056301763,0.046495553223502635,0.014585448425802358,0.05609609272051872,0.0073063233,0.0034672143,RISING,0.002953165,0.0023031504,RISING,-0.0099054948,-0.0078001061,FALLING,-0.0003539937,0.0020297412,FALLING
2018-02-26,LATE_CYCLE,0.04683359909531006,MID_CYCLE,1.6931421863132177,VALIDATION,0.8840153395391552,0.04683359909531006,0.015314906145910353,0.05383615521962439,0.0011924339,-0.0061138894,RISING,0.0003380459,-0.0026151192,RISING,0.0007294577,0.0106349524,RISING,-0.0022599375,-0.0019059439,FALLING
2018-02-27,LATE_CYCLE,0.04546917529265324,MID_CYCLE,1.6948263749517252,VALIDATION,0.8835431267860463,0.04546917529265324,0.0192273785953373,0.05176031932596324,-0.0004722127,-0.0016646466,FALLING,-0.0013644238,-0.0017024697,FALLING,0.0039124725,0.0031830148,RISING,-0.0020758359,0.0001841016,FALLING
2018-02-28,LATE_CYCLE,0.04564270218889854,MID_CYCLE,1.6962188006335142,VALIDATION,0.8845626722627999,0.04564270218889854,0.01855438296050759,0.05124024258779401,0.0010195455,0.0014917583,RISING,0.0001735269,0.0015379507,RISING,-0.0006729956,-0.004585468,FALLING,-0.0005200767,0.0015557592,FALLING
2018-03-01,LATE_CYCLE,0.04452693889258408,MID_CYCLE,1.683220386962201,VALIDATION,0.875441827802687,0.04452693889258408,0.021431706385980888,0.05859952691874805,-0.0091208445,-0.01014039,FALLING,-0.0011157633,-0.0012892902,FALLING,0.0028773234,0.003550319,RISING,0.0073592843,0.007879361,RISING
2018-03-02,LATE_CYCLE,0.041253523706003783,MID_CYCLE,1.6949216605538155,VALIDATION,0.878007047845564,0.041253523706003783,0.0123424861407187,0.06839694230771354,0.00256522,0.0116860645,RISING,-0.0032734152,-0.0021576519,FALLING,-0.0090892203,-0.0119665437,FALLING,0.0097974154,0.0024381311,RISING
2018-03-05,LATE_CYCLE,0.27646645986907625,MID_CYCLE,0.8088668735833735,VALIDATION,0.5103500791844202,0.27646645986907625,0.07353653001343165,0.13964693093307198,-0.3676569686,-0.3702221886,FALLING,0.2352129362,0.2384863514,RISING,0.0611940439,0.0702832641,RISING,0.0712499886,0.0614525732,RISING
2018-03-06,LATE_CYCLE,0.14509890867241182,MID_CYCLE,1.1586599259387238,VALIDATION,0.6202380857489281,0.14509890867241182,0.029083545650020776,0.20557945992863924,0.1098880065,0.4775449752,RISING,-0.1313675512,-0.3665804874,FALLING,-0.0444529843,-0.1056470282,FALLING,0.065932529,-0.0053174596,RISING
