date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2018-01-01,0.7096468413895649,0.7096468413895649,1.0,1.0,NEUTRAL,1.0,0.9736658409117428,0.22816274429747027,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594
2018-01-02,0.28809960645514,0.2875496243064171,0.998091,0.997546,PENALTY,1.0,0.6726173678413807,0.6116091709021675,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188
2018-01-03,0.5061781836250481,0.498464534284786,0.984761,0.980407,PENALTY,1.0,0.9339036873298364,0.44181422268412257,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578
2018-01-04,0.27648823623474916,0.267471954851134,0.96739,0.958072,PENALTY,1.0,0.618910871730663,0.5812567825502869,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94720458984375
2018-01-05,0.34374313815128404,0.33411523659480474,0.971991,0.963989,PENALTY,1.0,0.8772238155019534,0.6758070326662592,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,153.47323608398438
2018-01-08,0.3043506248609311,0.2915672899155223,0.957998,0.945997,PENALTY,1.0,0.8330451663935743,0.7263301952744671,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,154.0703582763672
2018-01-09,0.3543772334916345,0.34167210091649247,0.964148,0.953904,PENALTY,0.34167210091649247,0.8726868521599962,0.6500890694957135,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.079833984375
2018-01-10,0.34517760615551896,0.34517760615551896,1.0,1.0,NEUTRAL,0.34167210091649247,0.8557846306133625,0.6549544492002014,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,153.7196502685547
2018-01-11,0.40600716438813195,0.3803678119570214,0.93685,0.918808,PENALTY,0.34167210091649247,0.9119551828389628,0.5837288704449173,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,154.771728515625
2018-01-12,0.32911395227360535,0.32911395227360535,1.0,1.0,NEUTRAL,0.34167210091649247,0.863840069948624,0.6960885250759232,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,True,CASH,155.90914916992188
2018-01-15,0.3962790871403962,0.3962790871403962,1.0,1.0,NEUTRAL,0.34167210091649247,0.9044942364080716,0.5952972379459549,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,155.90914916992188
2018-01-16,0.39221166027804644,0.39221166027804644,1.0,1.0,NEUTRAL,0.34167210091649247,0.8985595350496824,0.5979908336994003,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,155.4636993408203
2018-01-17,0.3597772436964449,0.35942142400242916,0.999011,0.998728,PENALTY,0.34167210091649247,0.8705540466582684,0.6374149650699108,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,157.141357421875
2018-01-18,0.40840428986527877,0.3946692451928196,0.966369,0.956761,PENALTY,0.34167210091649247,0.9022875861353447,0.5717946583357644,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,157.16976928710938
2018-01-19,0.4005929203139724,0.4005929203139724,1.0,1.0,NEUTRAL,0.34167210091649247,0.9007877589458964,0.5845251488846221,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,157.66262817382812
2018-01-22,0.3937935859114995,0.3743307317214095,0.950576,0.936455,PENALTY,0.34167210091649247,0.8963506981215242,0.593311842870994,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,159.3498077392578
2018-01-23,0.37194645111547275,0.37194645111547275,1.0,1.0,NEUTRAL,0.34167210091649247,0.8601635928235425,0.604758068406302,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,160.6672821044922
2018-01-24,0.3827641510385501,0.3827641510385501,1.0,1.0,NEUTRAL,0.34167210091649247,0.8702076803320922,0.5924520169398041,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,159.62464904785156
2018-01-25,0.44067503698782445,0.4251037845558597,0.964665,0.954569,PENALTY,0.34167210091649247,0.8010358583202709,0.43107582597736716,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.56773376464844
2018-01-26,0.41188863866873193,0.4016540297750913,0.975152,0.968052,PENALTY,0.34167210091649247,0.8394655369204993,0.5136083831925012,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,162.0131378173828
2018-01-29,0.5024711810447468,0.5024711810447468,1.0,1.0,NEUTRAL,0.34167210091649247,0.8045907844077137,0.3396071800392666,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,161.22645568847656
2018-01-30,0.42684537186782845,0.42684537186782845,1.0,1.0,NEUTRAL,0.34167210091649247,0.8350020973898573,0.4840331423393525,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.89955139160156
2018-01-31,0.3973543762339725,0.3973543762339725,1.0,1.0,NEUTRAL,0.34167210091649247,0.8911895983611652,0.5826530803164826,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,160.56300354003906
2018-02-01,0.39450407577765273,0.39450407577765273,1.0,1.0,NEUTRAL,0.34167210091649247,0.8662061479291125,0.5673351033263061,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.19813537597656
2018-02-02,0.4012715180125109,0.4012715180125109,1.0,1.0,NEUTRAL,0.34167210091649247,0.8469446752614158,0.5388444868230788,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,156.02284240722656
2018-02-05,0.41163821974492404,0.41163821974492404,1.0,1.0,NEUTRAL,0.34167210091649247,0.9041989785080575,0.5676316740789616,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,149.8714599609375
2018-02-06,0.47822875775276796,0.47822875775276796,1.0,1.0,NEUTRAL,0.34167210091649247,0.9373874467299889,0.4854722936011584,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,153.8428497314453
2018-02-07,0.3673724589117997,0.3673724589117997,1.0,1.0,NEUTRAL,0.34167210091649247,0.8865607268896469,0.6354879900609635,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,151.85244750976562
2018-02-08,0.5180396267780524,0.5180396267780524,1.0,1.0,NEUTRAL,0.34167210091649247,0.9484676792939661,0.4362680764289029,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,145.44505310058594
2018-02-09,0.38781723446087907,0.38781723446087907,1.0,1.0,NEUTRAL,0.34167210091649247,0.9003997001753502,0.6075943293305099,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,147.9568328857422
2018-02-12,0.3702108662215733,0.3702108662215733,1.0,1.0,REWARD,0.34167210091649247,0.7095794096743467,0.46930845281207384,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,150.5823211669922
