date,beta_expectation,expected_target_beta,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,prior_details,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,deployment_multiplier,expected_deployment_state,expected_deployment_multiplier,deployment_rank_abs_error,actual_deployment_cash,expected_deployment_cash,deployment_pacing_error,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,0.8927246973529853,0.8,0.7339344902879122,0.7339344902879122,1.0,1.0,NEUTRAL,1.0,0.8927246973529853,0.6702891492299728,"{'base_weight': 1.0, 'posterior_weight': 0.0, 'transition_weight': 0.0, 'base_priors': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'posterior_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'transition_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,147.63450622558594,0.21735859887144088,1.0420353117462933,0.6423131521900821,0.21735859887144088,0.1297273462776237,0.01060090266085327
2018-01-02,0.6520525749665673,0.8,0.584666542366392,0.5825938994737032,0.996455,0.997546,PENALTY,1.0,0.6520525749665673,0.7125814839245751,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24994944276859007, 'LATE_CYCLE': 0.250223430630781, 'BUST': 0.249703072430981, 'RECOVERY': 0.25012405416964784}, 'posterior_prior': {'MID_CYCLE': 0.6423131521900821, 'LATE_CYCLE': 0.21735859887144088, 'BUST': 0.1297273462776237, 'RECOVERY': 0.01060090266085327}, 'transition_prior': {'MID_CYCLE': 0.6381307887612067, 'LATE_CYCLE': 0.21801128292562746, 'BUST': 0.13097747783362734, 'RECOVERY': 0.012880450479538575}}",BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,150.22213745117188,0.2308703961208524,0.9814332506413684,0.14711095063094684,0.2308703961208524,0.6066253518901372,0.015393301358063634
2018-01-03,0.869319015274225,0.8,0.7028858859942662,0.6829935125347424,0.971699,0.980407,PENALTY,1.0,0.869319015274225,0.7207564511174631,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24989978985659284, 'LATE_CYCLE': 0.2502140865175076, 'BUST': 0.24987540314259948, 'RECOVERY': 0.25001072048330003}, 'posterior_prior': {'MID_CYCLE': 0.14711095063094684, 'LATE_CYCLE': 0.2308703961208524, 'BUST': 0.6066253518901372, 'RECOVERY': 0.015393301358063634}, 'transition_prior': {'MID_CYCLE': 0.14755298617707222, 'LATE_CYCLE': 0.2304248961269333, 'BUST': 0.6025841589413407, 'RECOVERY': 0.01943795875465382}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,151.6818389892578,0.2685006855313124,0.8828261097649903,0.5687940956167803,0.2685006855313124,0.15541894917450538,0.0072862696774018835
2018-01-04,0.7731553437831883,0.8,0.6287522804502853,0.5906737848416551,0.939438,0.958072,PENALTY,1.0,0.7731553437831883,0.807646407083249,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.25005445840752705, 'LATE_CYCLE': 0.2502229557940042, 'BUST': 0.24982959033692145, 'RECOVERY': 0.24989299546154728}, 'posterior_prior': {'MID_CYCLE': 0.5687940956167803, 'LATE_CYCLE': 0.2685006855313124, 'BUST': 0.15541894917450538, 'RECOVERY': 0.0072862696774018835}, 'transition_prior': {'MID_CYCLE': 0.564832618618313, 'LATE_CYCLE': 0.2685174480219342, 'BUST': 0.15693612716521166, 'RECOVERY': 0.009713806194541205}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,151.94720458984375,0.33013843244553287,0.6706860434195323,0.3435137621786155,0.33013843244553287,0.322419583775484,0.003928221600367667
2018-01-05,0.8423924551161047,0.8,0.6736641250422661,0.6386228119140677,0.947984,0.963989,PENALTY,1.0,0.8423924551161047,0.7672746825742461,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2500999931690721, 'LATE_CYCLE': 0.25026189180172365, 'BUST': 0.2498649572603674, 'RECOVERY': 0.24977315776883685}, 'posterior_prior': {'MID_CYCLE': 0.3435137621786155, 'LATE_CYCLE': 0.33013843244553287, 'BUST': 0.322419583775484, 'RECOVERY': 0.003928221600367667}, 'transition_prior': {'MID_CYCLE': 0.34193160681273294, 'LATE_CYCLE': 0.3290056246795318, 'BUST': 0.3220353867577005, 'RECOVERY': 0.00702738175003478}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,153.47323608398438,0.3894321027197688,0.5930924065885043,0.4407348367717754,0.3894321027197688,0.16117405065131188,0.008659009857143978
2018-01-08,0.8242149110316314,0.8,0.6632830168638946,0.6115442884164434,0.921996,0.945997,PENALTY,1.0,0.8242149110316314,0.7712695041755416,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2501932943457556, 'LATE_CYCLE': 0.2503300049765901, 'BUST': 0.24982154984443353, 'RECOVERY': 0.24965515083322076}, 'posterior_prior': {'MID_CYCLE': 0.4407348367717754, 'LATE_CYCLE': 0.3894321027197688, 'BUST': 0.16117405065131188, 'RECOVERY': 0.008659009857143978}, 'transition_prior': {'MID_CYCLE': 0.43795310005387617, 'LATE_CYCLE': 0.3877477064657213, 'BUST': 0.16320362783982562, 'RECOVERY': 0.011095565640576946}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,154.0703582763672,0.46059082550563396,0.44989191865192185,0.3608487541584184,0.46059082550563396,0.16920494316806126,0.009355477167886442
2018-01-09,0.8410364750486657,0.8,0.6749877185037828,0.6300450112426454,0.933417,0.953904,PENALTY,1.0,0.8410364750486657,0.7607131157160937,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2502476971185577, 'LATE_CYCLE': 0.2504333778392377, 'BUST': 0.24978191540665234, 'RECOVERY': 0.2495370096355522}, 'posterior_prior': {'MID_CYCLE': 0.3608487541584184, 'LATE_CYCLE': 0.46059082550563396, 'BUST': 0.16920494316806126, 'RECOVERY': 0.009355477167886442}, 'transition_prior': {'MID_CYCLE': 0.3590223968599548, 'LATE_CYCLE': 0.45775460888855196, 'BUST': 0.17140496529916627, 'RECOVERY': 0.011818028952326916}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,154.079833984375,0.4642426231839356,0.4548297117820277,0.3864528814718607,0.4642426231839356,0.1350757497482791,0.014228745595924588
2018-01-10,0.8341255913287969,0.8,0.6712930487211195,0.6712930487211195,1.0,1.0,NEUTRAL,1.0,0.8341255913287969,0.7612074291971677,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2503149644515054, 'LATE_CYCLE': 0.25053897130663905, 'BUST': 0.24972526574332912, 'RECOVERY': 0.24942079849852647}, 'posterior_prior': {'MID_CYCLE': 0.3864528814718607, 'LATE_CYCLE': 0.4642426231839356, 'BUST': 0.1350757497482791, 'RECOVERY': 0.014228745595924588}, 'transition_prior': {'MID_CYCLE': 0.38430588047135555, 'LATE_CYCLE': 0.4613402935003119, 'BUST': 0.13783923651840493, 'RECOVERY': 0.016514589509927555}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,153.7196502685547,0.49189211637479596,0.40301670220045943,0.35428334113549653,0.49189211637479596,0.13813073274202423,0.01569380974768321
2018-01-11,0.8581316023349683,0.8,0.6897478947479609,0.6088556411477096,0.882722,0.918808,PENALTY,1.0,0.8581316023349683,0.7422079454303729,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.25036654349030524, 'LATE_CYCLE': 0.25065870736130275, 'BUST': 0.24966990334438524, 'RECOVERY': 0.24930484580400672}, 'posterior_prior': {'MID_CYCLE': 0.3542833411354966, 'LATE_CYCLE': 0.491892116374796, 'BUST': 0.13813073274202425, 'RECOVERY': 0.015693809747683213}, 'transition_prior': {'MID_CYCLE': 0.3525933596336433, 'LATE_CYCLE': 0.4884268752349881, 'BUST': 0.14099618695189994, 'RECOVERY': 0.01798357817946869}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,154.771728515625,0.37374668250662957,0.6435259259994407,0.4825170188989963,0.37374668250662957,0.13582115170523892,0.007915146889135376
2018-01-12,0.8388505219740005,0.8,0.6744732541323064,0.6744732541323064,1.0,1.0,NEUTRAL,1.0,0.8388505219740005,0.7587234204139512,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.25048223513482937, 'LATE_CYCLE': 0.25072004796480846, 'BUST': 0.24961316708622783, 'RECOVERY': 0.24918454981413432}, 'posterior_prior': {'MID_CYCLE': 0.4825170188989962, 'LATE_CYCLE': 0.3737466825066295, 'BUST': 0.1358211517052389, 'RECOVERY': 0.007915146889135374}, 'transition_prior': {'MID_CYCLE': 0.4789174738958668, 'LATE_CYCLE': 0.37236798244200287, 'BUST': 0.1384223460958804, 'RECOVERY': 0.010292197566249947}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,155.90914916992188,0.42114328622144354,0.5330244508427615,0.41691659028167655,0.42114328622144354,0.15519138855233125,0.006748734944548581
