date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2018-01-01,0.5639171262609767,0.5639171262609767,1.0,1.0,NEUTRAL,1.0,0.8795716402226613,0.6208952532692051,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594
2018-01-02,0.41175463173077437,0.4109685921388003,0.998091,0.997546,PENALTY,1.0,0.6475937863089548,0.6266707078044988,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_BASE,False,QQQ,150.22213745117188
2018-01-03,0.43413245820012886,0.4275167136696171,0.984761,0.980407,PENALTY,1.0,0.8187239033624407,0.7417363354963069,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_BASE,False,QQQ,151.6818389892578
2018-01-04,0.41877308236390476,0.4051168921480178,0.96739,0.958072,PENALTY,1.0,0.6074830255100679,0.5679858110335709,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94720458984375
2018-01-05,0.3919586405060478,0.3809802709441139,0.971991,0.963989,PENALTY,1.0,0.8015208629871327,0.7876433821126197,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,153.47323608398438
2018-01-08,0.38622937642893734,0.37000697016016915,0.957998,0.945997,PENALTY,1.0,0.7838092722860325,0.7834369214683399,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,154.0703582763672
2018-01-09,0.4270348054195093,0.41172475357560906,0.964148,0.953904,PENALTY,1.0,0.8244880392629609,0.7553494349693897,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,154.079833984375
2018-01-10,0.42956145110392696,0.42956145110392696,1.0,1.0,NEUTRAL,1.0,0.818950078146161,0.7480587801389283,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,153.7196502685547
2018-01-11,0.4123085424112625,0.3862712579579913,0.93685,0.918808,PENALTY,1.0,0.817414275423332,0.7703989700265107,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,154.771728515625
2018-01-12,0.39236544064195195,0.39236544064195195,1.0,1.0,NEUTRAL,1.0,0.7837699096993656,0.7746355757889007,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,155.90914916992188
2018-01-15,0.44479800759201576,0.44479800759201576,1.0,1.0,NEUTRAL,1.0,0.8346824654926004,0.7388274449117855,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,155.90914916992188
