date,beta_expectation,expected_target_beta,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,prior_details,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,deployment_multiplier,expected_deployment_state,expected_deployment_multiplier,deployment_rank_abs_error,actual_deployment_cash,expected_deployment_cash,deployment_pacing_error,lock_active,target_bucket,close
2018-01-01,0.9625851558752048,0.8,0.9042775664950307,0.9042775664950307,1.0,1.0,NEUTRAL,1.0,0.9625851558752048,0.34182153311866625,"{'base_weight': 1.0, 'posterior_weight': 0.0, 'transition_weight': 0.0, 'base_priors': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'posterior_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'transition_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,147.63450622558594
2018-01-02,0.56070822791445,0.8,0.550300980198316,0.5483501632235129,0.996455,0.997546,PENALTY,1.0,0.56070822791445,0.4038415366412471,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2500567313097711, 'LATE_CYCLE': 0.2501665069426996, 'BUST': 0.24965768971792734, 'RECOVERY': 0.25011907202960193}, 'posterior_prior': {'MID_CYCLE': 0.8655323265442335, 'LATE_CYCLE': 0.09892601963366913, 'BUST': 0.03530634263378536, 'RECOVERY': 0.000235311188312062}, 'transition_prior': {'MID_CYCLE': 0.8591818740838509, 'LATE_CYCLE': 0.10135691426468657, 'BUST': 0.037186535202379765, 'RECOVERY': 0.002274676449082584}}",BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,0.0,DEPLOY_SLOW,0.5,1,0.0,500.0,-0.5,False,QQQ,150.22213745117188
2018-01-03,0.9370355760286218,0.8,0.8344651865355825,0.8108489872914391,0.971699,0.980407,PENALTY,1.0,0.9370355760286218,0.48163278224940087,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24995958662128862, 'LATE_CYCLE': 0.250103595030418, 'BUST': 0.2499382520799352, 'RECOVERY': 0.24999856626835826}, 'posterior_prior': {'MID_CYCLE': 0.048855776907208, 'LATE_CYCLE': 0.11986667282836784, 'BUST': 0.8307436542438648, 'RECOVERY': 0.0005338960205594426}, 'transition_prior': {'MID_CYCLE': 0.050223432937824046, 'LATE_CYCLE': 0.12049340963282819, 'BUST': 0.8236865436000892, 'RECOVERY': 0.005596613829258624}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,151.6818389892578
2018-01-04,0.7770354152938647,0.8,0.6344564978983723,0.5960325434726511,0.939438,0.958072,PENALTY,1.0,0.7770354152938647,0.7917889275757116,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2502124818435538, 'LATE_CYCLE': 0.25006518230371627, 'BUST': 0.24984496138604786, 'RECOVERY': 0.24987737446668198}, 'posterior_prior': {'MID_CYCLE': 0.7713768097556767, 'LATE_CYCLE': 0.17090456109687233, 'BUST': 0.05759229111124819, 'RECOVERY': 0.00012633803620280552}, 'transition_prior': {'MID_CYCLE': 0.7648043201159698, 'LATE_CYCLE': 0.17245023107090543, 'BUST': 0.06049674017291157, 'RECOVERY': 0.0022487086402131866}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,151.94720458984375
2018-01-05,0.8838799487280162,0.8,0.7379980373148614,0.6996103314058916,0.947984,0.963989,PENALTY,1.0,0.8838799487280162,0.643892701643148,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2502647234372198, 'LATE_CYCLE': 0.250102972553568, 'BUST': 0.24987665078281157, 'RECOVERY': 0.24975565322640056}, 'posterior_prior': {'MID_CYCLE': 0.3574374415500388, 'LATE_CYCLE': 0.3276290109181706, 'BUST': 0.3148868954594671, 'RECOVERY': 4.6652072323511654e-05}, 'transition_prior': {'MID_CYCLE': 0.3555276265519953, 'LATE_CYCLE': 0.3266370514890151, 'BUST': 0.314690156764101, 'RECOVERY': 0.0031451651948885685}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,153.47323608398438
2018-01-08,0.8474137906076261,0.8,0.7162478015155208,0.6603776080061041,0.921996,0.945997,PENALTY,1.0,0.8474137906076261,0.6412096278877158,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2503988245928075, 'LATE_CYCLE': 0.2501789904985673, 'BUST': 0.24978866912239547, 'RECOVERY': 0.24963351578622972}, 'posterior_prior': {'MID_CYCLE': 0.5242629057873586, 'LATE_CYCLE': 0.4054243690360165, 'BUST': 0.07011074997073831, 'RECOVERY': 0.00020197520588673308}, 'transition_prior': {'MID_CYCLE': 0.5200405062832775, 'LATE_CYCLE': 0.40387013473163724, 'BUST': 0.0737226370194959, 'RECOVERY': 0.0023667219655893797}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,154.0703582763672
2018-01-09,0.8642809336660803,0.8,0.738096477801746,0.6889518000202725,0.933417,0.953904,PENALTY,1.0,0.8642809336660803,0.6072825129802394,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.250449368252982, 'LATE_CYCLE': 0.25033568553374413, 'BUST': 0.2497040440258365, 'RECOVERY': 0.2495109021874374}, 'posterior_prior': {'MID_CYCLE': 0.35320483371966144, 'LATE_CYCLE': 0.5688973255166173, 'BUST': 0.07766088060903757, 'RECOVERY': 0.00023696015468367584}, 'transition_prior': {'MID_CYCLE': 0.3511484817076002, 'LATE_CYCLE': 0.5648560007142857, 'BUST': 0.08156745655939157, 'RECOVERY': 0.002428061018722585}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,1.0,DEPLOY_SLOW,0.5,1,1000.0,500.0,0.5,False,QQQ,154.079833984375
2018-01-10,0.8507725249296924,0.8,0.735463774878144,0.735463774878144,1.0,1.0,NEUTRAL,1.0,0.8507725249296924,0.5879320509786872,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2505195436826071, 'LATE_CYCLE': 0.2504881096678372, 'BUST': 0.24960440751840307, 'RECOVERY': 0.24938793913115265}, 'posterior_prior': {'MID_CYCLE': 0.3925429656993667, 'LATE_CYCLE': 0.558969258090872, 'BUST': 0.04795665389453595, 'RECOVERY': 0.0005311223152254946}, 'transition_prior': {'MID_CYCLE': 0.39000037681524147, 'LATE_CYCLE': 0.555057869692935, 'BUST': 0.052336991261382845, 'RECOVERY': 0.00260476223044067}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,153.7196502685547
2018-01-11,0.9056204313024817,0.8,0.7707989407028141,0.6804011825350694,0.882722,0.918808,PENALTY,1.0,0.9056204313024817,0.5919455245871164,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.25055778298867576, 'LATE_CYCLE': 0.25067239823916454, 'BUST': 0.24950528348207535, 'RECOVERY': 0.2492645352900844}, 'posterior_prior': {'MID_CYCLE': 0.3275988896725214, 'LATE_CYCLE': 0.6219603985692576, 'BUST': 0.04979911088713067, 'RECOVERY': 0.0006416008710905069}, 'transition_prior': {'MID_CYCLE': 0.3260734704902026, 'LATE_CYCLE': 0.6168805001333157, 'BUST': 0.054326458474772084, 'RECOVERY': 0.002719570901709562}}",MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,154.771728515625
2018-01-12,0.8740709125479378,0.8,0.7327588340400655,0.7327588340400655,1.0,1.0,NEUTRAL,1.0,0.8740709125479378,0.6414469104243263,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2507314578928088, 'LATE_CYCLE': 0.2507235495336171, 'BUST': 0.2494045975003111, 'RECOVERY': 0.24914039507326297}, 'posterior_prior': {'MID_CYCLE': 0.5990592821842856, 'LATE_CYCLE': 0.35331418688158767, 'BUST': 0.047465640691022375, 'RECOVERY': 0.0001608902431044566}, 'transition_prior': {'MID_CYCLE': 0.5933926998099802, 'LATE_CYCLE': 0.35290879200654457, 'BUST': 0.05146345886540147, 'RECOVERY': 0.0022350493180738314}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_SLOW,0.5,0,500.0,500.0,0.0,False,QQQ,155.90914916992188
