,tractor_prob,sidecar_prob,sidecar_valid
2011-01-03,0.10115839677841956,0.3156155262956473,True
2011-01-04,0.10047523284299369,0.3155344241644262,True
2011-01-05,0.09938518752599691,0.3153476594161138,True
2011-01-06,0.0977053110582225,0.3150036441010948,True
2011-01-07,0.09943835342214503,0.3152339072514538,True
2011-01-10,0.09821352738397383,0.31515510546803194,True
2011-01-11,0.10002659663045246,0.31539799840348387,True
2011-01-12,0.09699634889680103,0.3149984426976778,True
2011-01-13,0.09548389305012114,0.31471634911444557,True
2011-01-14,0.09422874561706791,0.3144730721082811,True
2011-01-17,0.09345085338376988,,False
2011-01-18,0.09344088845618252,0.3144053610486749,True
2011-01-19,0.09317836534828404,0.31435785175839936,True
2011-01-20,0.09749273217152911,0.3151772933028035,True
2011-01-21,0.10061746635159322,0.31565090144190455,True
2011-01-24,0.10286668010576379,0.31598396927465044,True
2011-01-25,0.09904122791713442,0.31512664558721953,True
2011-01-26,0.09875699876074853,0.3149471267768396,True
2011-01-27,0.09449844258494852,0.3143114470679346,True
2011-01-28,0.09238059741584807,0.31422280998776275,True
2011-01-31,0.11056398629255687,0.3165918261741331,True
2011-02-01,0.10675241348613457,0.31405435793026415,True
2011-02-02,0.0977231336355018,0.3128937050286612,True
2011-02-03,0.09624527045370558,0.3123095724903231,True
2011-02-04,0.09354302643125686,0.31181158731966263,True
2011-02-07,0.09028319554260514,0.31129951561906577,True
2011-02-08,0.091781320129368,0.31150491102865235,True
2011-02-09,0.0897913777240074,0.3112573672154936,True
2011-02-10,0.09005363546120017,0.3114315615473797,True
2011-02-11,0.0909845038392234,0.3115052325554489,True
2011-02-14,0.08929893250096237,0.3112087136037666,True
2011-02-15,0.09039048505646594,0.3113570995870487,True
2011-02-16,0.09023504162557744,0.31121304175520587,True
2011-02-17,0.09169547974885957,0.311497343955866,True
2011-02-18,0.09111471083969801,0.31138578242534815,True
2011-02-21,0.09040670174760222,,False
2011-02-22,0.09037613488134041,0.31114467123413414,True
2011-02-23,0.1104721177449538,0.3145022695671876,True
2011-02-24,0.11724755485634393,0.31513679612833395,True
2011-02-25,0.11291641802835316,0.3146716273645221,True
2011-02-28,0.10251427578241655,0.31210004842254324,True
2011-03-01,0.09843875508843684,0.31186486264554475,True
2011-03-02,0.10993067081275046,0.3106663111747101,True
2011-03-03,0.1082718634636486,0.31098988711750103,True
2011-03-04,0.09817884032152276,0.30933046289788557,True
2011-03-07,0.10021118204303829,0.3092924982013459,True
2011-03-08,0.10778916297247393,0.31097648874364625,True
2011-03-09,0.10360709427438893,0.310995402363622,True
2011-03-10,0.1054362587157426,0.31136583591036576,True
2011-03-11,0.11365525500041579,0.3115246971520562,True
2011-03-14,0.10453647255280189,0.3104457681407267,True
2011-03-15,0.10959276362780783,0.31072572982769076,True
2011-03-16,0.12654015284182235,0.31293073718128167,True
2011-03-17,0.15367980199218353,0.31503948114402425,True
2011-03-18,0.13425332751797,0.3134834644117694,True
2011-03-21,0.12292932016126668,0.31350060475149427,True
2011-03-22,0.10304612804303832,0.310244060725386,True
2011-03-23,0.10103941719839887,0.3091712130936836,True
2011-03-24,0.09618082432370095,0.3089277746589775,True
2011-03-25,0.11467295812349543,0.3126125853457346,True
2011-03-28,0.11409313438495772,0.3128965594111001,True
2011-03-29,0.12216577667582271,0.31383630215154934,True
2011-03-30,0.11512736135783362,0.31342463404813603,True
2011-03-31,0.11142199473820115,0.3101292450250583,True
2011-04-01,0.11142694450619633,0.30953929358214854,True
2011-04-04,0.1095501611138605,0.3094166703063215,True
2011-04-05,0.10992210157200842,0.30990812782692256,True
2011-04-06,0.10853441638401654,0.31013367380169576,True
2011-04-07,0.10668280813542294,0.3103119929632421,True
2011-04-08,0.10761091207905078,0.30971353703447846,True
2011-04-11,0.11134765543162452,0.31044192517289776,True
2011-04-12,0.10485264052179798,0.31014737447790247,True
2011-04-13,0.10721671862435944,0.3101597099297352,True
2011-04-14,0.10632756682474667,0.3088993472009227,True
2011-04-15,0.10099171124940295,0.30813635375834525,True
2011-04-18,0.09854051534635093,0.30847596141559797,True
2011-04-19,0.1042158602115785,0.3086315018011589,True
2011-04-20,0.09945511370250035,0.30795572687916856,True
2011-04-21,0.09828044518775855,0.3078837330583009,True
2011-04-22,0.09815034662359264,,False
2011-04-25,0.09815195378223555,0.3079379793106931,True
2011-04-26,0.09867019951135131,0.3081258804365068,True
2011-04-27,0.09892571761444327,0.3085404411193111,True
2011-04-28,0.09840232714511787,0.3081588096273578,True
2011-04-29,0.1354344244478639,0.30519312700146994,True
2011-05-02,0.13590597544027663,0.3051866675636919,True
2011-05-03,0.13610795785614455,0.30585609165516414,True
2011-05-04,0.14013488678958433,0.30628076295740053,True
2011-05-05,0.1423324260067415,0.3062142078474248,True
2011-05-06,0.14895855455159035,0.3065727748551965,True
2011-05-09,0.15014088492732988,0.3066195287101798,True
2011-05-10,0.14277056112262612,0.30589707349223344,True
2011-05-11,0.13593538727829726,0.3050399400687532,True
2011-05-12,0.14154535086376085,0.30554478135682545,True
2011-05-13,0.1363434705681642,0.3051548187710866,True
2011-05-16,0.14230072810965783,0.3060780502861809,True
2011-05-17,0.15402960834226112,0.30774651368635453,True
2011-05-18,0.149834020875058,0.3072358917614713,True
2011-05-19,0.1420664513738475,0.3060230039386506,True
2011-05-20,0.1412657107208582,0.3056593372677135,True
2011-05-23,0.14921655804650064,0.30655846953718396,True
