scenario,rows,approx_total_return,approx_max_drawdown,mean_target_beta,mean_turnover,left_tail_mean_beta,mean_expected_beta,beta_expectation_mae,beta_expectation_rmse,beta_expectation_within_5pct,mean_raw_beta,raw_beta_expected_mae,raw_beta_expected_within_5pct,mean_standard_beta,standard_beta_expected_mae,standard_beta_expected_within_5pct,posterior_vs_benchmark_process,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_probability_within_band_share,stable_vs_benchmark_regime,entropy_within_band_share,entropy_mae,transition_entropy_within_band_share,acceptance_pass,acceptance_reason,tractor_threshold,sidecar_threshold,calm_threshold
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.05
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.05
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.05
s4s5_panorama,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.05
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.1
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.1
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.1
s4s5_panorama,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.1
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.15
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.15
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.15,0.15
s4s5_panorama,1240.0,0.7800339004192198,-0.08268437223826297,0.6168919430086438,0.03053063011174462,0.5362903225806451,0.8780645161290324,0.36899515376554964,0.4268743396792799,0.2032258064516129,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.15,0.15
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.05
s4_sidecar,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.05
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.05
s4s5_panorama,1240.0,0.7253313706411448,-0.08268437223826297,0.611046308863814,0.028272614964485836,0.5865194154771459,0.8780645161290324,0.2891861306697584,0.35875509535326044,0.18387096774193548,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.05
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.1
s4_sidecar,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.1
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.1
s4s5_panorama,1240.0,0.7253313706411448,-0.08268437223826297,0.611046308863814,0.028272614964485836,0.5865194154771459,0.8780645161290324,0.2891861306697584,0.35875509535326044,0.18387096774193548,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.1
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.15
s4_sidecar,1240.0,0.7298996266334805,-0.08268437223826319,0.6129931948607867,0.028555748286756326,0.5865194154771459,0.8780645161290324,0.288713886804716,0.35783838939998797,0.18064516129032257,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.15
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.2,0.15
s4s5_panorama,1240.0,0.8680836182803469,-0.0826843722382633,0.698295338037772,0.04675954279620664,0.6158207103156996,0.8780645161290324,0.30971310971637606,0.3727029716128753,0.17096774193548386,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.2,0.15
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.05
s4_sidecar,1240.0,0.8277011357083583,-0.08329694566552659,0.6509765463347811,0.02821456526263822,0.6518147330484086,0.8780645161290324,0.274688251445283,0.33750135363106454,0.12661290322580646,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.05
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.05
s4s5_panorama,1240.0,0.7782063951020488,-0.08268437223826253,0.6345447571663715,0.02842028611876917,0.6274657764538213,0.8780645161290324,0.2774833195526939,0.3455294981201227,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.05
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.1
s4_sidecar,1240.0,0.8277011357083583,-0.08329694566552659,0.6509765463347811,0.02821456526263822,0.6518147330484086,0.8780645161290324,0.274688251445283,0.33750135363106454,0.12661290322580646,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.1
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.1
s4s5_panorama,1240.0,0.7782063951020488,-0.08268437223826253,0.6345447571663715,0.02842028611876917,0.6274657764538213,0.8780645161290324,0.2774833195526939,0.3455294981201227,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.1
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.15
s4_sidecar,1240.0,0.8277011357083583,-0.08329694566552659,0.6509765463347811,0.02821456526263822,0.6518147330484086,0.8780645161290324,0.274688251445283,0.33750135363106454,0.12661290322580646,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.15
s5_tractor,1240.0,0.7968083393813954,-0.08268437223826308,0.6383818310309244,0.027335443221058103,0.6291161610859177,0.8780645161290324,0.27364624568814105,0.34142789058254125,0.1620967741935484,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.2,0.25,0.15
s4s5_panorama,1240.0,0.9253334710868109,-0.08268437223826286,0.7217937863403295,0.046876295891435805,0.656767071292375,0.8780645161290324,0.2980102985993116,0.3599901674744529,0.14919354838709678,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.2,0.25,0.15
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.05
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.05
s5_tractor,1240.0,0.8547541668123748,-0.0826843722382633,0.6522680716202822,0.026412569253282295,0.6456177791069305,0.8780645161290324,0.2689939666363901,0.332338864464827,0.1403225806451613,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.05
s4s5_panorama,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.05
standard,1240.0,0.8893130648564243,-0.10670610397057056,0.6925937655158146,0.027010566136743033,0.7081306805050552,0.8780645161290324,0.26052879327665796,0.2995653673172221,0.03951612903225806,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,True,PASS,0.25,0.15,0.1
s4_sidecar,1240.0,0.6440100963066779,-0.08268437223826319,0.5296429138346859,0.0104304360791324,0.5069890277420915,0.8780645161290324,0.34846817471893204,0.41475223359191266,0.2161290322580645,0.8531916007008792,0.16782636235681597,0.267741935483871,0.6925937655158146,0.26052879327665796,0.03951612903225806,0.8275622752138303,0.6094234553995579,0.8828538045676338,0.949023128656121,0.96068253285418,0.8275622752138303,0.6422792670059588,0.15840153213067573,0.8815437191571242,False,Process Distortion,0.25,0.15,0.1
