date,actual_regime,actual_regime_probability,predicted_regime,brier,test_type,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY,prob_delta_MID_CYCLE,prob_acceleration_MID_CYCLE,prob_trend_MID_CYCLE,prob_delta_LATE_CYCLE,prob_acceleration_LATE_CYCLE,prob_trend_LATE_CYCLE,prob_delta_BUST,prob_acceleration_BUST,prob_trend_BUST,prob_delta_RECOVERY,prob_acceleration_RECOVERY,prob_trend_RECOVERY
2011-01-03,BUST,0.019697115907437227,LATE_CYCLE,1.86777055484513,VALIDATION,0.00010449883101417615,0.9518254979948148,0.019697115907437227,0.02837288726673383,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT
2011-01-04,BUST,0.020562049713471087,LATE_CYCLE,1.862768048289344,VALIDATION,0.00010882701644210155,0.9500592684584761,0.020562049713471087,0.02926985481161069,4.3282e-06,0.0,RISING,-0.0017662295,0.0,FALLING,0.0008649338,0.0,RISING,0.0008969675,0.0,RISING
2011-01-05,BUST,0.02044750529100834,LATE_CYCLE,1.862059750097383,VALIDATION,0.00010859727696951753,0.9495488043394025,0.02044750529100834,0.02989509309261969,-2.297e-07,-4.5579e-06,FLAT,-0.0005104642,0.0012557653,FALLING,-0.0001145444,-0.0009794782,FALLING,0.0006252383,-0.0002717292,RISING
2011-01-06,BUST,0.02054268745532404,LATE_CYCLE,1.86223394090718,VALIDATION,0.00010877268467809576,0.9497479165972956,0.02054268745532404,0.029600623262702193,1.754e-07,4.051e-07,FLAT,0.0001991123,0.0007095764,RISING,9.51822e-05,0.0002097266,RISING,-0.0002944698,-0.0009197081,FALLING
2011-01-07,BUST,0.02078365075732898,LATE_CYCLE,1.8611018541281,VALIDATION,0.0001100446959470773,0.949396933134074,0.02078365075732898,0.029709371412649913,1.272e-06,1.0966e-06,RISING,-0.0003509835,-0.0005500958,FALLING,0.0002409633,0.0001457811,RISING,0.0001087481,0.0004032179,RISING
2011-01-10,BUST,0.020941692480070134,LATE_CYCLE,1.8608221854184006,VALIDATION,0.00011089807004900263,0.9494182602758855,0.020941692480070134,0.029529149173995337,8.534e-07,-4.186e-07,FLAT,2.13272e-05,0.0003723107,RISING,0.0001580417,-8.29216e-05,RISING,-0.0001802222,-0.0002889703,FALLING
2011-01-11,BUST,0.02078991756428947,LATE_CYCLE,1.8616765463710259,VALIDATION,0.00011010071420270261,0.9497161356397779,0.02078991756428947,0.029383846081730017,-7.974e-07,-1.6508e-06,FLAT,0.0002978753,0.0002765482,RISING,-0.0001517749,-0.0003098166,FALLING,-0.0001453031,3.49191e-05,FALLING
2011-01-12,BUST,0.020516474396331186,LATE_CYCLE,1.8630991271296082,VALIDATION,0.00010868497464602421,0.9501891028085223,0.020516474396331186,0.029185737820500535,-1.4157e-06,-6.183e-07,FALLING,0.0004729672,0.0001750918,RISING,-0.0002734432,-0.0001216683,FALLING,-0.0001981083,-5.28052e-05,FALLING
2011-01-13,BUST,0.02036096661931828,LATE_CYCLE,1.8640911311645139,VALIDATION,0.00010786282705502473,0.9505572012834466,0.02036096661931828,0.028973969270180183,-8.222e-07,5.935e-07,FLAT,0.0003680985,-0.0001048687,RISING,-0.0001555078,0.0001179354,FALLING,-0.0002117685,-1.36602e-05,FALLING
2011-01-14,BUST,0.020157432308779012,LATE_CYCLE,1.8659028168636407,VALIDATION,0.00010681974046078288,0.951316831113188,0.020157432308779012,0.028418916837572274,-1.0431e-06,-2.21e-07,FALLING,0.0007596298,0.0003915313,RISING,-0.0002035343,-4.80265e-05,FALLING,-0.0005550525,-0.0003432839,FALLING
2011-01-18,BUST,0.020570827362920218,LATE_CYCLE,1.8637479717612182,VALIDATION,0.00010902457202218673,0.9506006772881018,0.020570827362920218,0.02871947077695579,2.2049e-06,3.248e-06,RISING,-0.0007161538,-0.0014757836,FALLING,0.0004133951,0.0006169294,RISING,0.000300554,0.0008556064,RISING
2011-01-19,BUST,0.02201404349219073,LATE_CYCLE,1.8574666088146197,VALIDATION,0.00011661383738270573,0.9487693364171272,0.02201404349219073,0.02910000625329937,7.5892e-06,5.3844e-06,RISING,-0.0018313409,-0.0011151871,FALLING,0.0014432161,0.001029821,RISING,0.0003805355,7.99816e-05,RISING
2011-01-20,BUST,0.025169618368127467,LATE_CYCLE,1.8250306714677915,VALIDATION,0.0076948212757489256,0.9346784052957302,0.025169618368127467,0.032457155060393386,0.0075782075,0.0075706182,RISING,-0.0140909311,-0.0122595902,FALLING,0.0031555749,0.0017123588,RISING,0.0033571488,0.0029766133,RISING
2011-01-21,BUST,0.02656660173422773,LATE_CYCLE,1.8025231322602042,VALIDATION,0.01601946605560699,0.9238885073403311,0.02656660173422773,0.03352542486983422,0.0083246448,0.0007464374,RISING,-0.010789898,0.0033010331,FALLING,0.0013969833,-0.0017585916,RISING,0.0010682698,-0.002288879,RISING
