Date,VIX,P_BUST,Signal,Quality,Resurrection,Reason
2020-02-03,17.97,0.0107,QLD,1.0,False,CRUISE
2020-02-04,16.05,0.001,QLD,1.0,False,CRUISE
2020-02-05,15.15,0.0002,QLD,1.0,False,CRUISE
2020-02-06,14.96,0.0002,QLD,1.0,False,CRUISE
2020-02-07,15.47,0.0009,QLD,1.0,False,CRUISE
2020-02-10,15.04,0.0002,QLD,1.0,False,CRUISE
2020-02-11,15.18,0.0002,QLD,1.0,False,CRUISE
2020-02-12,13.74,0.0,QLD,1.0,False,CRUISE
2020-02-13,14.15,0.0,QLD,1.0,False,CRUISE
2020-02-14,13.68,0.0,QLD,1.0,False,CRUISE
2020-02-18,14.83,0.0001,QLD,1.0,False,CRUISE
2020-02-19,14.38,0.0,QLD,1.0,False,CRUISE
2020-02-20,15.56,0.002,QLD,1.0,False,CRUISE
2020-02-21,17.08,0.0203,QLD,1.0,False,CRUISE
2020-02-24,25.03,0.2505,QLD,1.0,False,CRUISE
2020-02-25,27.85,0.4451,QQQ,1.0,False,DELEVERAGE: P(BUST) 0.45 > 0.40
2020-02-26,27.56,0.4932,QQQ,1.0,False,CRUISE
2020-02-27,39.16,0.9611,CASH,1.0,False,BLACKOUT: P(BUST) 0.96 > 0.75
2020-03-02,33.42,0.8981,CASH,1.0,False,CRUISE
2020-03-03,36.82,0.9063,CASH,1.0,False,CRUISE
2020-03-04,31.99,0.7877,CASH,1.0,False,CRUISE
2020-03-05,39.62,0.9103,CASH,1.0,False,CRUISE
2020-03-06,41.94,0.9683,CASH,1.0,False,CRUISE
2020-03-09,54.46,0.962,CASH,1.0,False,CRUISE
2020-03-10,47.3,0.9659,CASH,1.0,False,CRUISE
2020-03-11,53.9,0.9648,CASH,1.0,False,CRUISE
2020-03-12,75.47,0.05,CASH,0.0,False,CRITICAL: DATA CORRUPTION. FORCED CASH.
2020-03-13,57.83,0.972,CASH,1.0,False,BLACKOUT: P(BUST) 0.97 > 0.75
2020-03-16,82.69,0.9692,CASH,1.0,False,CRUISE
2020-03-17,75.91,0.9817,CASH,1.0,False,CRUISE
2020-03-18,76.45,0.9894,CASH,1.0,False,CRUISE
2020-03-19,72.0,0.9891,QLD,1.0,True,RESURRECTION: Z-SCORE > 3.0. OVERRIDING PROBABILITY.
2020-03-20,66.04,0.9894,QLD,1.0,True,SETTLEMENT_LOCKED (29 days left)
2020-03-23,61.59,0.9896,QLD,1.0,False,SETTLEMENT_LOCKED (28 days left)
2020-03-24,61.67,0.9873,QLD,1.0,False,SETTLEMENT_LOCKED (27 days left)
2020-03-25,63.95,0.968,QLD,1.0,False,SETTLEMENT_LOCKED (26 days left)
2020-03-26,61.0,0.9003,QLD,1.0,False,SETTLEMENT_LOCKED (25 days left)
2020-03-27,65.54,0.8858,QLD,1.0,False,SETTLEMENT_LOCKED (24 days left)
2020-03-30,57.08,0.8355,QLD,1.0,False,SETTLEMENT_LOCKED (23 days left)
2020-03-31,53.54,0.8535,QLD,1.0,False,SETTLEMENT_LOCKED (22 days left)
2020-04-01,57.06,0.9063,QLD,1.0,False,SETTLEMENT_LOCKED (21 days left)
2020-04-02,50.91,0.9047,QLD,1.0,False,SETTLEMENT_LOCKED (20 days left)
2020-04-03,46.8,0.9197,QLD,1.0,False,SETTLEMENT_LOCKED (19 days left)
2020-04-06,45.24,0.8852,QLD,1.0,False,SETTLEMENT_LOCKED (18 days left)
2020-04-07,46.7,0.8618,QLD,1.0,False,SETTLEMENT_LOCKED (17 days left)
2020-04-08,43.35,0.8244,QLD,1.0,False,SETTLEMENT_LOCKED (16 days left)
2020-04-09,41.67,0.2779,QLD,1.0,False,SETTLEMENT_LOCKED (15 days left)
2020-04-13,41.17,0.2037,QLD,1.0,False,SETTLEMENT_LOCKED (14 days left)
2020-04-14,37.76,0.2175,QLD,1.0,False,SETTLEMENT_LOCKED (13 days left)
2020-04-15,40.84,0.1446,QLD,1.0,False,SETTLEMENT_LOCKED (12 days left)
